id;title;category;created_at;updated_at;created_by;updated_by
1;payment Rustic;envisioneer Coordinator;2020-07-13T03:50:19;2020-07-12T13:26:33;Garden Rhode Island;Cotton Manager
2;Enterprise-wide SDD;Gloves Jordan;2020-07-13T01:56:45;2020-07-12T17:58:07;Cotton Forge New Mexico;port Pants Shirt
3;Credit Card Account;payment Spur;2020-07-12T13:46:26;2020-07-12T17:06:17;Passage SCSI Hawaii;Steel zero defect
4;Granite;Program;2020-07-13T09:05:23;2020-07-12T18:40:26;Multi-channelled;Security
5;Sleek;Handcrafted Wooden Shirt Architect;2020-07-12T10:52:16;2020-07-12T17:34:15;Automotive;invoice
6;Minnesota Open-architected Lebanon;Tugrik Wooden;2020-07-13T09:18:52;2020-07-13T06:50:55;Metal;lime Chilean Peso Unidades de fomento Officer
7;feed;communities;2020-07-12T13:11:55;2020-07-12T10:54:50;Quality-focused;parsing Identity
8;Health Polarised transmitting;Rhode Island Music Data;2020-07-12T17:29:07;2020-07-12T11:59:09;Savings Account Branding navigating;payment Incredible deposit
9;Checking Account utilisation AI;USB primary Iowa;2020-07-12T16:18:41;2020-07-13T07:24:55;withdrawal copy Dynamic;solid state program
10;help-desk SAS embrace;Nigeria;2020-07-13T09:53:44;2020-07-13T02:09:10;withdrawal;mesh Iceland Krona
