id;created_at;updated_at;created_by;updated_by
1;2020-07-12T19:43:24;2020-07-13T01:16:51;Connecticut;Unbranded Tugrik
2;2020-07-13T01:52:36;2020-07-12T23:26:56;streamline Kansas haptic;bluetooth policy
3;2020-07-12T19:00:45;2020-07-12T21:32:59;e-commerce SSL web-readiness;JBOD Books
4;2020-07-12T13:02:28;2020-07-13T05:34:56;matrix Data;Supervisor
5;2020-07-13T01:37:00;2020-07-13T08:46:09;Fantastic Sleek Granite Tuna Utah;Coordinator
6;2020-07-12T15:35:43;2020-07-13T07:49:58;killer Russian Federation;Adaptive Practical B2C
7;2020-07-13T03:08:24;2020-07-12T13:33:58;program;Gorgeous Steel Salad Associate
8;2020-07-12T23:46:02;2020-07-13T07:24:23;whiteboard Concrete;Data open-source Generic
9;2020-07-13T00:00:42;2020-07-12T10:27:29;XSS Investment Account Investor;Fish Associate Intuitive
10;2020-07-12T11:24:30;2020-07-12T13:55:34;Phased connecting;Automated
