id;libelle;code;chemin
1;Jordan Savings Account;deploy Advanced;New Mexico
2;Pakistan Rupee;connect Berkshire;XSS Suriname
3;Lead cross-platform;enable;Moldova Operative
4;Investment Account generate;synthesize capacitor Andorra;violet Outdoors deposit
5;Functionality invoice streamline;Applications;yellow Shoes
6;Open-source multi-tasking;Data;Moldova archive
7;monitor morph;networks Granite Computer;CSS haptic Fish
8;Licensed;white Principal;Avon neural
9;integrate New Caledonia;Solutions;invoice Cambridgeshire
10;Secured olive;Shirt next-generation;Legacy efficient Exclusive
