id;title;category;created_at;updated_at;created_by;updated_by
1;Executive contingency Kids;cyan;2020-07-12T02:49:07;2020-07-12T00:14:32;client-driven;intuitive
2;Intelligent Regional;payment;2020-07-12T05:48:45;2020-07-12T06:22:40;Rubber Madagascar;focus group generate
3;visionary copying;incentivize Incredible Granite Keyboard Designer;2020-07-12T05:40:35;2020-07-12T21:59:40;Berkshire transmitting;Checking Account withdrawal Metical
4;portal;Coordinator connecting;2020-07-12T21:51:16;2020-07-12T04:38:09;parse;Liaison purple
5;reboot;Engineer;2020-07-12T01:40:07;2020-07-12T23:07:32;synthesize Street;Music Home Loan Account Manager
6;Small;intangible;2020-07-12T00:49:14;2020-07-12T16:04:01;AI;monitoring mobile
7;Electronics;efficient structure Dynamic;2020-07-12T01:40:27;2020-07-12T00:40:06;Frozen partnerships Stream;real-time
8;Digitized Plastic Intelligent Metal Tuna;Maryland;2020-07-12T21:07:44;2020-07-12T01:16:26;Investment Account generating;groupware
9;Borders;implementation reinvent matrix;2020-07-12T10:25:29;2020-07-12T22:18:06;Awesome Granite Table;lavender Frozen Networked
10;Delaware Kip Missouri;reboot invoice foreground;2020-07-12T02:09:45;2020-07-12T17:58:10;Tactics Cross-group Rwanda;purple bottom-line
