id;created_at;updated_at;created_by;updated_by
1;2020-07-12T09:05:28;2020-07-12T06:17:07;Investment Account back-end;Investment Account port withdrawal
2;2020-07-12T21:10:26;2020-07-12T18:00:07;Dale deposit Bedfordshire;Wooden withdrawal
3;2020-07-12T10:31:10;2020-07-12T21:56:59;silver bypassing Home;bandwidth-monitored Sleek
4;2020-07-12T02:32:47;2020-07-12T07:00:23;payment Switchable Garden;Berkshire reinvent
5;2020-07-12T05:24:37;2020-07-12T15:14:12;Unbranded Granite Bacon;synergy internet solution
6;2020-07-13T00:01:23;2020-07-12T20:47:43;mobile Connecticut;infrastructures Plastic
7;2020-07-12T23:43:48;2020-07-12T21:22:55;open-source;lime payment portals
8;2020-07-12T16:15:55;2020-07-12T01:13:37;calculate Concrete Soap;Marketing interface
9;2020-07-12T17:59:00;2020-07-12T20:00:39;rich Norfolk Island Kiribati;Group
10;2020-07-12T21:13:27;2020-07-12T17:16:48;Sleek;Cambridgeshire Illinois
