id;title;created_at;updated_at;created_by;updated_by
1;transform RSS;2020-07-12T01:29:08;2020-07-12T15:19:29;open-source Yuan Renminbi;Tools
2;Refined Granite Bacon;2020-07-12T10:39:40;2020-07-12T00:43:35;Automotive;withdrawal user-centric invoice
3;distributed cultivate Universal;2020-07-12T19:14:33;2020-07-12T04:34:49;AGP;Enterprise-wide Shirt connecting
4;Computer payment green;2020-07-12T08:23:46;2020-07-12T01:42:11;redundant;solid state solutions
5;Maryland;2020-07-12T07:41:43;2020-07-12T17:14:54;revolutionary Practical;Turnpike web-enabled Ergonomic
6;JBOD calculating;2020-07-12T21:39:12;2020-07-12T21:25:37;archive;Generic Plastic Hat payment United Arab Emirates
7;overriding Licensed Wooden Fish deposit;2020-07-12T01:38:14;2020-07-12T10:21:39;white monitor Causeway;Unbranded Cotton
8;Creek;2020-07-12T03:15:16;2020-07-12T23:01:41;Small Cotton Table;systems hub Forward
9;Licensed Wooden Hat Sleek Gloves;2020-07-12T21:36:55;2020-07-12T18:27:32;deposit blue client-driven;SAS
10;Mountain conglomeration application;2020-07-12T17:55:35;2020-07-12T07:39:26;Rustic Rubber Bacon Team-oriented productize;solutions Decentralized Unbranded Fresh Soap
