id;libelle;delai;relance;created_at;updated_at;created_by;updated_by
1;Future-proofed Wisconsin;28730;55759;2020-07-12T10:49:51;2020-07-12T05:17:19;Mauritius Rupee;magenta Games open-source
2;Metal Denmark JBOD;9530;72598;2020-07-12T00:18:01;2020-07-12T16:37:01;invoice port;optical
3;generating Ergonomic copying;26592;31998;2020-07-12T06:36:36;2020-07-12T01:34:27;alliance Glens;Vision-oriented Human
4;uniform Chicken discrete;11701;43942;2020-07-12T13:20:28;2020-07-12T20:35:17;THX;hack Principal reboot
5;JBOD;12464;26087;2020-07-12T05:25:31;2020-07-12T22:35:24;withdrawal Optimization deposit;contextually-based SCSI
6;Steel;74547;21747;2020-07-12T14:59:21;2020-07-12T17:38:23;Intelligent Plastic Bacon Bedfordshire bypassing;complexity
7;Savings Account Sausages;9092;29779;2020-07-12T01:00:09;2020-07-12T11:00:59;card context-sensitive;Auto Loan Account COM
8;policy;66262;34047;2020-07-12T10:29:42;2020-07-12T07:08:19;Intelligent Plastic Bacon;Som
9;Creative primary;40813;89064;2020-07-12T10:44:47;2020-07-12T09:22:02;hacking;Home Loan Account Bike
10;Burgs;47827;91614;2020-07-12T13:26:32;2020-07-12T02:38:48;utilize Garden payment;Intelligent Steel Bike Fresh card
